Application,Tool,Partition Count,Decomposition Type,Commits,Contributors,Class Names,Static Structural,Granularity,SMQ,CMQ,CDP,TurboMQ_commits,TurbomMQ_contributors
demo,mem,4_partitions,3600_100_10_LC_final,X,X,X,55.588972431077686,method_level,-1,X,0.0,43.891543982306004,13.172541743970315
demo,mem,4_partitions,3600_100_10_LC_final,X,X,X,25.396825396825395,class_level,-1,X,0.0,43.891543982306004,13.172541743970315
jpetstore,mem,4_partitions,3600_100_10_LC_final,X,X,X,33.202185792349724,method_level,-1,X,0.0,19.81019189932581,19.83129171345536
jpetstore,mem,4_partitions,3600_100_10_LC_final,X,X,X,7.761194029850746,class_level,-1,X,0.0,19.81019189932581,19.83129171345536
partsunlimited,mem,4_partitions,3600_100_10_LC_final,X,X,X,81.31868131868131,method_level,-1,X,0.0,49.09335689343263,49.07407407407407
partsunlimited,mem,4_partitions,3600_100_10_LC_final,X,X,X,0.0,class_level,-1,X,0.0,49.09335689343263,49.07407407407407
spring-petclinic,mem,4_partitions,3600_100_10_LC_final,X,X,X,50.39915281850765,method_level,-1,X,0.0,24.376351322998815,17.89320342903302
spring-petclinic,mem,4_partitions,3600_100_10_LC_final,X,X,X,36.851851851851855,class_level,-1,X,0.0,24.376351322998815,17.89320342903302
demo,mem,4_partitions,3600_100_10_TS_final,X,X,X,39.998240875433865,method_level,-1,X,1.9607843137254901,13.68644383153532,4.768518518518519
demo,mem,4_partitions,3600_100_10_TS_final,X,X,X,2.0042610273810464,class_level,-1,X,2.3391812865497075,12.966104682507146,4.517543859649123
jpetstore,mem,4_partitions,3600_100_10_TS_final,X,X,X,28.201550387596903,method_level,-1,X,20.0,16.348109178024195,16.427024233192288
jpetstore,mem,4_partitions,3600_100_10_TS_final,X,X,X,14.061302681992338,class_level,-1,X,20.0,16.348109178024195,16.427024233192288
partsunlimited,mem,4_partitions,3600_100_10_TS_final,X,X,X,23.284597659810395,method_level,-1,X,10.606060606060606,8.217687676964411,8.241401204409529
partsunlimited,mem,4_partitions,3600_100_10_TS_final,X,X,X,11.47751322751323,class_level,-1,X,10.606060606060606,8.218240950919748,8.240757624920072
spring-petclinic,mem,4_partitions,3600_100_10_TS_final,X,X,X,25.106951871657756,method_level,-1,X,0.0,31.23169890011553,23.726007398216183
spring-petclinic,mem,4_partitions,3600_100_10_TS_final,X,X,X,13.262032085561499,class_level,-1,X,0.0,31.23169890011553,23.726007398216183
demo,mono2micro,4_partitions,business,X,X,X,91.66947158074335,method_level,-1,X,0.0,48.411738802859006,24.576271186440678
