Application,Tool,Partition Count,Decomposition Type,Granularity,Mojo-D,Mojo,C2C 50,C2C 33,C2C 10
demo,mem,4_partitions,3600_100_10_LC_final,class,X,37.21,12.5,12.5,62.5
demo,mem,4_partitions,3600_100_10_LC_final,method,X,41.45,12.5,12.5,37.5
jpetstore,mem,4_partitions,3600_100_10_LC_final,class,X,38.1,0.0,33.33333333333333,83.33333333333334
jpetstore,mem,4_partitions,3600_100_10_LC_final,method,X,70.07,50.0,50.0,83.33333333333334
partsunlimited,mem,4_partitions,3600_100_10_LC_final,class,X,25.0,0.0,33.33333333333333,33.33333333333333
partsunlimited,mem,4_partitions,3600_100_10_LC_final,method,X,30.05,0.0,0.0,100.0
spring-petclinic,mem,4_partitions,3600_100_10_LC_final,class,X,31.58,0.0,42.857142857142854,100.0
spring-petclinic,mem,4_partitions,3600_100_10_LC_final,method,X,62.96,0.0,42.857142857142854,100.0
demo,mem,4_partitions,3600_100_10_TS_final,class,X,20.93,5.0,45.0,65.0
demo,mem,4_partitions,3600_100_10_TS_final,method,X,51.97,0.0,5.263157894736842,26.31578947368421
jpetstore,mem,4_partitions,3600_100_10_TS_final,class,X,33.33,0.0,0.0,100.0
jpetstore,mem,4_partitions,3600_100_10_TS_final,method,X,69.74,28.57142857142857,42.857142857142854,85.71428571428571
partsunlimited,mem,4_partitions,3600_100_10_TS_final,class,X,22.92,0.0,7.6923076923076925,61.53846153846154
partsunlimited,mem,4_partitions,3600_100_10_TS_final,method,X,52.96,0.0,23.076923076923077,69.23076923076923
spring-petclinic,mem,4_partitions,3600_100_10_TS_final,class,X,31.58,0.0,33.33333333333333,83.33333333333334
spring-petclinic,mem,4_partitions,3600_100_10_TS_final,method,X,63.89,16.666666666666664,33.33333333333333,100.0
demo,mono2micro,4_partitions,business,class,X,51.16,20.0,40.0,100.0
demo,mono2micro,4_partitions,business,method,X,57.89,20.0,40.0,100.0
jpetstore,mono2micro,3_partitions,business,class,X,57.14,50.0,75.0,100.0
jpetstore,mono2micro,3_partitions,business,method,X,74.67,75.0,75.0,100.0
partsunlimited,mono2micro,5_partitions,business,class,X,33.33,0.0,16.666666666666664,83.33333333333334
partsunlimited,mono2micro,5_partitions,business,method,X,46.06,0.0,66.66666666666666,83.33333333333334
spring-petclinic,mono2micro,3_partitions,business,class,X,36.84,25.0,75.0,100.0
spring-petclinic,mono2micro,3_partitions,business,method,X,56.48,25.0,75.0,100.0
demo,tomicroservices,4_partitions,cohesion,method,X,38.16,0.0,40.0,40.0
jpetstore,tomicroservices,3_partitions,cohesion,method,X,50.99,0.0,50.0,50.0
partsunlimited,tomicroservices,5_partitions,cohesion,method,X,31.03,0.0,16.666666666666664,33.33333333333333
spring-petclinic,tomicroservices,3_partitions,cohesion,method,X,55.56,25.0,50.0,100.0
demo,tomicroservices,4_partitions,coupling,method,X,35.86,0.0,40.0,40.0
