,ClassA,ClassB,ReferenceCount
0,com.coveros.training.authentication.LoginServlet,com.coveros.training.authentication.LoginUtils,2
0,com.coveros.training.authentication.LoginServlet,com.coveros.training.helpers.ServletUtils,1
0,com.coveros.training.authentication.LoginServlet,com.coveros.training.helpers.StringUtils,1
0,com.coveros.training.authentication.LoginUtils,com.coveros.training.persistence.PersistenceLayer,2
0,com.coveros.training.authentication.LoginUtils,com.coveros.training.persistence.IPersistenceLayer,2
0,com.coveros.training.authentication.LoginUtils,com.coveros.training.helpers.CheckUtils,1
0,com.coveros.training.authentication.RegisterServlet,com.coveros.training.authentication.RegistrationUtils,2
0,com.coveros.training.authentication.RegisterServlet,com.coveros.training.authentication.domainobjects.RegistrationResult,1
0,com.coveros.training.authentication.RegisterServlet,com.coveros.training.helpers.StringUtils,1
0,com.coveros.training.authentication.RegisterServlet,com.coveros.training.helpers.ServletUtils,1
0,com.coveros.training.authentication.RegistrationUtils,com.coveros.training.persistence.PersistenceLayer,2
0,com.coveros.training.authentication.RegistrationUtils,com.coveros.training.persistence.IPersistenceLayer,4
0,com.coveros.training.authentication.RegistrationUtils,com.coveros.training.authentication.domainobjects.PasswordResult,4
0,com.coveros.training.authentication.RegistrationUtils,com.coveros.training.authentication.domainobjects.PasswordResultEnums,6
0,com.coveros.training.authentication.RegistrationUtils,com.coveros.training.helpers.CheckUtils,3
0,com.coveros.training.authentication.RegistrationUtils,com.coveros.training.authentication.domainobjects.RegistrationResult,2
0,com.coveros.training.authentication.RegistrationUtils,com.coveros.training.authentication.domainobjects.RegistrationStatusEnums,3
0,com.coveros.training.authentication.domainobjects.PasswordResult,com.coveros.training.authentication.domainobjects.PasswordResultEnums,1
0,com.coveros.training.authentication.domainobjects.PasswordResultEnums,com.coveros.training.authentication.domainobjects.PasswordResultEnums[],1
0,com.coveros.training.authentication.domainobjects.RegistrationResult,com.coveros.training.authentication.domainobjects.RegistrationStatusEnums,1
0,com.coveros.training.authentication.domainobjects.RegistrationStatusEnums,com.coveros.training.authentication.domainobjects.RegistrationStatusEnums[],1
0,com.coveros.training.expenses.AlcoholCalculator,com.coveros.training.expenses.AlcoholResult,1
0,com.coveros.training.helpers.CheckUtils,com.coveros.training.helpers.AssertionException,1
