method: com.coveros.training.authentication.LoginServlet.doPost | lines: 27:50 | file: D:\msdecomp\2022_microservice_tools\code\scripts\metrics\casestudies/demo/src/main/java/com/coveros/training/authentication/LoginServlet.java
commit: 86e58a92d50a9b0fc7e65a8c59c6af2575798b05 | author: Byron Katz
commit: 59dbea431a93d5fb9f49501bc56f4ede22ec48a5 | author: Byron Katz
commit: c851c36b7f4cda1ffc8f0b22f6c2f3aab36aab06 | author: Byron Katz
commit: ce0f52a5c534621059ad3774eed71afd9487fe9e | author: Byron Katz
commit: b157c48becf8e9823ceda7fffac877c6e89de3a7 | author: Byron Katz
commit: efde5332a9f33fd1cb7962f675ef6f9a80507f6e | author: Byron Katz
commit: 1a07b46b2a555f84a6a47ad4361b6af0e9a03216 | author: Byron Katz
commit: 409803d575a5efe35b3a6b786761edeb4ff295d7 | author: Byron Katz
commit: 2460935a6690c159b5ce4b554fadcc2f09ee1579 | author: Byron Katz
commit: 8d51efe28f238e053461eea6629601a5e3500216 | author: Byron Katz
commit: 16434d200c3702e225bbddd19e2424e34b340e98 | author: Byron Katz
commit: db3f2b5b0752a7402b37e9bed2f80cc7417f02b7 | author: Byron Katz
commit: 96322cdd539d90f06fec7c227e17caa4b32cf8cd | author: Byron Katz
commit: 340f96edca25606f0cff6b33ea493e92a039c10a | author: Byron Katz
commit: 461ccf574cf733091a83990c41d7da9e63c5cfd6 | author: Byron Katz
commit: 833aa6ca895e4c2d4f9dbbfdc86ae490683985ec | author: Byron Katz
commit: 3edca423af98cdb4e789c290fe6829762abbbe43 | author: Byron Katz
commit: 41ac804af51d72cb47720a7932e7ab21fabe95a2 | author: Byron Katz
commit: 0cc6e2ffa8547ed00e234ff3f74ea4a6d16111bd | author: Byron Katz
commit: 4355506fbd7aac1f83fcd4f07d6308c62f064d68 | author: Byron Katz
method: com.coveros.training.authentication.LoginUtils.LoginUtils | lines: 17:19 | file: D:\msdecomp\2022_microservice_tools\code\scripts\metrics\casestudies/demo/src/main/java/com/coveros/training/authentication/LoginUtils.java
commit: 0f3b02dfccc94e847d68e947494db72cfcf0b9d1 | author: Byron Katz
commit: b4f301839c1c830db0a4f97ef93d41e8d2f2a894 | author: Byron Katz
commit: 0cc6e2ffa8547ed00e234ff3f74ea4a6d16111bd | author: Byron Katz
commit: 871ecc47278f4a87c097397a494cb6f0dc2a3e22 | author: Byron Katz
commit: 4355506fbd7aac1f83fcd4f07d6308c62f064d68 | author: Byron Katz
method: com.coveros.training.authentication.LoginUtils.LoginUtils | lines: 17:19 | file: D:\msdecomp\2022_microservice_tools\code\scripts\metrics\casestudies/demo/src/main/java/com/coveros/training/authentication/LoginUtils.java
commit: 0f3b02dfccc94e847d68e947494db72cfcf0b9d1 | author: Byron Katz
commit: b4f301839c1c830db0a4f97ef93d41e8d2f2a894 | author: Byron Katz
commit: 0cc6e2ffa8547ed00e234ff3f74ea4a6d16111bd | author: Byron Katz
commit: 871ecc47278f4a87c097397a494cb6f0dc2a3e22 | author: Byron Katz
commit: 4355506fbd7aac1f83fcd4f07d6308c62f064d68 | author: Byron Katz
