,MethodA,MethodB,ReferenceCount
0,com.coveros.training.authentication.LoginServlet.doPost,com.coveros.training.authentication.LoginServlet.logger,1
0,com.coveros.training.authentication.LoginServlet.doPost,com.coveros.training.authentication.LoginServlet.loginUtils,1
0,com.coveros.training.authentication.LoginServlet.doPost,com.coveros.training.authentication.LoginUtils.isUserRegistered,1
0,com.coveros.training.authentication.LoginServlet.doPost,com.coveros.training.helpers.ServletUtils.forwardToResult,1
0,com.coveros.training.authentication.LoginServlet.doPost,com.coveros.training.helpers.StringUtils.makeNotNullable,1
0,com.coveros.training.authentication.LoginServlet.static {},com.coveros.training.authentication.LoginServlet.logger,1
0,com.coveros.training.authentication.LoginServlet.static {},com.coveros.training.authentication.LoginServlet.loginUtils,1
0,com.coveros.training.authentication.LoginServlet.static {},com.coveros.training.authentication.LoginUtils.LoginUtils,1
0,com.coveros.training.authentication.LoginUtils.LoginUtils,com.coveros.training.persistence.PersistenceLayer.PersistenceLayer,1
0,com.coveros.training.authentication.LoginUtils.LoginUtils,com.coveros.training.authentication.LoginUtils.persistenceLayer,1
0,com.coveros.training.authentication.LoginUtils.createEmpty,com.coveros.training.authentication.LoginUtils.LoginUtils,1
0,com.coveros.training.authentication.LoginUtils.createEmpty,com.coveros.training.persistence.PersistenceLayer.createEmpty,1
0,com.coveros.training.authentication.LoginUtils.isEmpty,com.coveros.training.authentication.LoginUtils.persistenceLayer,1
0,com.coveros.training.authentication.LoginUtils.isEmpty,com.coveros.training.persistence.IPersistenceLayer.isEmpty,1
0,com.coveros.training.authentication.LoginUtils.isUserRegistered,com.coveros.training.authentication.LoginUtils.logger,1
0,com.coveros.training.authentication.LoginUtils.isUserRegistered,com.coveros.training.authentication.LoginUtils.persistenceLayer,1
0,com.coveros.training.authentication.LoginUtils.isUserRegistered,com.coveros.training.helpers.CheckUtils.StringMustNotBeNullOrEmpty,1
0,com.coveros.training.authentication.LoginUtils.isUserRegistered,com.coveros.training.persistence.IPersistenceLayer.areCredentialsValid,1
0,com.coveros.training.authentication.LoginUtils.static {},com.coveros.training.authentication.LoginUtils.logger,1
0,com.coveros.training.authentication.RegisterServlet.doPost,com.coveros.training.authentication.RegisterServlet.forwardToResult,1
0,com.coveros.training.authentication.RegisterServlet.doPost,com.coveros.training.authentication.RegisterServlet.logger,1
0,com.coveros.training.authentication.RegisterServlet.doPost,com.coveros.training.authentication.RegisterServlet.registrationUtils,1
0,com.coveros.training.authentication.RegisterServlet.doPost,com.coveros.training.authentication.RegistrationUtils.processRegistration,1
0,com.coveros.training.authentication.RegisterServlet.doPost,com.coveros.training.authentication.domainobjects.RegistrationResult.toPrettyString,1
0,com.coveros.training.authentication.RegisterServlet.doPost,com.coveros.training.helpers.StringUtils.makeNotNullable,1
0,com.coveros.training.authentication.RegisterServlet.forwardToResult,com.coveros.training.helpers.ServletUtils.forwardToResult,1
0,com.coveros.training.authentication.RegisterServlet.static {},com.coveros.training.authentication.RegisterServlet.logger,1
0,com.coveros.training.authentication.RegisterServlet.static {},com.coveros.training.authentication.RegisterServlet.registrationUtils,1
0,com.coveros.training.authentication.RegisterServlet.static {},com.coveros.training.authentication.RegistrationUtils.RegistrationUtils,1
0,com.coveros.training.authentication.RegistrationUtils.RegistrationUtils,com.coveros.training.persistence.PersistenceLayer.PersistenceLayer,1
0,com.coveros.training.authentication.RegistrationUtils.RegistrationUtils,com.coveros.training.authentication.RegistrationUtils.persistenceLayer,1
0,com.coveros.training.authentication.RegistrationUtils.createEmpty,com.coveros.training.authentication.RegistrationUtils.RegistrationUtils,1
0,com.coveros.training.authentication.RegistrationUtils.createEmpty,com.coveros.training.persistence.PersistenceLayer.createEmpty,1
0,com.coveros.training.authentication.RegistrationUtils.isEmpty,com.coveros.training.authentication.RegistrationUtils.persistenceLayer,1
0,com.coveros.training.authentication.RegistrationUtils.isEmpty,com.coveros.training.persistence.IPersistenceLayer.isEmpty,1
0,com.coveros.training.authentication.RegistrationUtils.isPasswordGood,com.coveros.training.authentication.RegistrationUtils.logger,1
0,com.coveros.training.authentication.RegistrationUtils.isPasswordGood,com.coveros.training.authentication.domainobjects.PasswordResult.PasswordResult,1
