,className1,className2,ClassNameRel
0,org.mybatis.jpetstore.web.actions.CartActionBean,org.mybatis.jpetstore.domain.CartItem,1.0
1,org.mybatis.jpetstore.web.actions.CartActionBean,org.mybatis.jpetstore.domain.Cart,1.0
2,org.mybatis.jpetstore.web.actions.OrderActionBean,org.mybatis.jpetstore.mapper.OrderMapper,1.0
3,org.mybatis.jpetstore.web.actions.OrderActionBean,org.mybatis.jpetstore.service.OrderService,1.0
4,org.mybatis.jpetstore.web.actions.OrderActionBean,org.mybatis.jpetstore.domain.Order,1.0
5,org.mybatis.jpetstore.web.actions.CatalogActionBean,org.mybatis.jpetstore.service.CatalogService,1.0
6,org.mybatis.jpetstore.web.actions.AccountActionBean,org.mybatis.jpetstore.mapper.AccountMapper,1.0
7,org.mybatis.jpetstore.web.actions.AccountActionBean,org.mybatis.jpetstore.service.AccountService,1.0
8,org.mybatis.jpetstore.web.actions.AccountActionBean,org.mybatis.jpetstore.domain.Account,1.0
9,org.mybatis.jpetstore.mapper.CategoryMapper,org.mybatis.jpetstore.domain.Category,1.0
10,org.mybatis.jpetstore.mapper.LineItemMapper,org.mybatis.jpetstore.domain.LineItem,1.0
11,org.mybatis.jpetstore.mapper.OrderMapper,org.mybatis.jpetstore.service.OrderService,1.0
12,org.mybatis.jpetstore.mapper.OrderMapper,org.mybatis.jpetstore.domain.Order,1.0
13,org.mybatis.jpetstore.mapper.AccountMapper,org.mybatis.jpetstore.service.AccountService,1.0
14,org.mybatis.jpetstore.mapper.AccountMapper,org.mybatis.jpetstore.domain.Account,1.0
15,org.mybatis.jpetstore.mapper.SequenceMapper,org.mybatis.jpetstore.domain.Sequence,1.0
16,org.mybatis.jpetstore.mapper.ProductMapper,org.mybatis.jpetstore.domain.Product,1.0
17,org.mybatis.jpetstore.service.AccountService,org.mybatis.jpetstore.domain.Account,1.0
18,org.mybatis.jpetstore.service.OrderService,org.mybatis.jpetstore.domain.Order,1.0
19,org.mybatis.jpetstore.domain.CartItem,org.mybatis.jpetstore.domain.Cart,1.0
