,ClassA,ClassB,ReferenceCount
0,org.mybatis.jpetstore.domain.Cart,org.mybatis.jpetstore.domain.CartItem,10
0,org.mybatis.jpetstore.domain.Cart,org.mybatis.jpetstore.domain.Item,2
0,org.mybatis.jpetstore.domain.Item,org.mybatis.jpetstore.domain.Product,1
0,org.mybatis.jpetstore.domain.LineItem,org.mybatis.jpetstore.domain.CartItem,2
0,org.mybatis.jpetstore.domain.LineItem,org.mybatis.jpetstore.domain.Item,2
0,org.mybatis.jpetstore.domain.Order,org.mybatis.jpetstore.domain.LineItem,1
0,org.mybatis.jpetstore.domain.Order,org.mybatis.jpetstore.domain.Account,9
0,org.mybatis.jpetstore.domain.Order,org.mybatis.jpetstore.domain.Cart,2
0,org.mybatis.jpetstore.service.AccountService,org.mybatis.jpetstore.mapper.AccountMapper,8
0,org.mybatis.jpetstore.service.AccountService,org.mybatis.jpetstore.domain.Account,1
0,org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.mapper.CategoryMapper,2
0,org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.mapper.ItemMapper,3
0,org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.mapper.ProductMapper,3
0,org.mybatis.jpetstore.service.OrderService,org.mybatis.jpetstore.domain.Sequence,2
0,org.mybatis.jpetstore.service.OrderService,org.mybatis.jpetstore.mapper.SequenceMapper,2
0,org.mybatis.jpetstore.service.OrderService,org.mybatis.jpetstore.domain.Order,5
0,org.mybatis.jpetstore.service.OrderService,org.mybatis.jpetstore.mapper.LineItemMapper,2
0,org.mybatis.jpetstore.service.OrderService,org.mybatis.jpetstore.mapper.OrderMapper,4
0,org.mybatis.jpetstore.service.OrderService,org.mybatis.jpetstore.domain.Item,1
0,org.mybatis.jpetstore.service.OrderService,org.mybatis.jpetstore.domain.LineItem,5
0,org.mybatis.jpetstore.service.OrderService,org.mybatis.jpetstore.mapper.ItemMapper,3
0,org.mybatis.jpetstore.web.actions.AccountActionBean,org.mybatis.jpetstore.domain.Account,13
0,org.mybatis.jpetstore.web.actions.AccountActionBean,org.mybatis.jpetstore.web.actions.AbstractActionBean,1
0,org.mybatis.jpetstore.web.actions.AccountActionBean,org.mybatis.jpetstore.service.AccountService,5
0,org.mybatis.jpetstore.web.actions.AccountActionBean,org.mybatis.jpetstore.service.CatalogService,3
0,org.mybatis.jpetstore.web.actions.CartActionBean,org.mybatis.jpetstore.domain.Cart,8
0,org.mybatis.jpetstore.web.actions.CartActionBean,org.mybatis.jpetstore.web.actions.AbstractActionBean,1
0,org.mybatis.jpetstore.web.actions.CartActionBean,org.mybatis.jpetstore.service.CatalogService,2
0,org.mybatis.jpetstore.web.actions.CartActionBean,org.mybatis.jpetstore.domain.CartItem,1
0,org.mybatis.jpetstore.web.actions.CartActionBean,org.mybatis.jpetstore.domain.Item,1
0,org.mybatis.jpetstore.web.actions.CatalogActionBean,org.mybatis.jpetstore.web.actions.AbstractActionBean,1
0,org.mybatis.jpetstore.web.actions.CatalogActionBean,org.mybatis.jpetstore.service.CatalogService,6
0,org.mybatis.jpetstore.web.actions.CatalogActionBean,org.mybatis.jpetstore.domain.Item,1
0,org.mybatis.jpetstore.web.actions.OrderActionBean,org.mybatis.jpetstore.domain.Order,7
0,org.mybatis.jpetstore.web.actions.OrderActionBean,org.mybatis.jpetstore.web.actions.AbstractActionBean,1
0,org.mybatis.jpetstore.web.actions.OrderActionBean,org.mybatis.jpetstore.domain.Account,2
0,org.mybatis.jpetstore.web.actions.OrderActionBean,org.mybatis.jpetstore.service.OrderService,3
0,org.mybatis.jpetstore.web.actions.OrderActionBean,org.mybatis.jpetstore.web.actions.AccountActionBean,4
0,org.mybatis.jpetstore.web.actions.OrderActionBean,org.mybatis.jpetstore.web.actions.CartActionBean,2
