,className1,className2,ClassNameRel
0,smpl.ordering.PostgresqlProperties,smpl.ordering.OrderingServiceProperties,0.3333333333333333
1,smpl.ordering.PostgresqlProperties,smpl.ordering.PropertyHelper,0.3333333333333333
2,smpl.ordering.PostgresqlProperties,smpl.ordering.MongoDBProperties,0.3333333333333333
3,smpl.ordering.OrderingServiceProperties,smpl.ordering.OrderingConfiguration,0.3333333333333333
4,smpl.ordering.OrderingServiceProperties,smpl.ordering.PropertyHelper,0.3333333333333333
5,smpl.ordering.OrderingServiceProperties,smpl.ordering.MongoDBProperties,0.3333333333333333
6,smpl.ordering.OrderingServiceProperties,smpl.ordering.OrderingInitializer,0.3333333333333333
7,smpl.ordering.OrderingConfiguration,smpl.ordering.OrderingInitializer,0.3333333333333333
8,smpl.ordering.PropertyHelper,smpl.ordering.MongoDBProperties,0.3333333333333333
9,smpl.ordering.repositories.OrderRepository,smpl.ordering.repositories.mock.MockOrderRepository,1.0
10,smpl.ordering.repositories.OrderRepository,smpl.ordering.repositories.mongodb.MongoOrderRepository,1.0
11,smpl.ordering.repositories.OrderRepository,smpl.ordering.repositories.mongodb.models.OrderDetails,1.0
12,smpl.ordering.repositories.OrderRepository,smpl.ordering.models.Order,1.0
13,smpl.ordering.repositories.OrderRepository,smpl.ordering.models.OrderStatus,1.0
14,smpl.ordering.repositories.OrderRepository,smpl.ordering.models.OrderUpdateInfo,1.0
15,smpl.ordering.repositories.OrderRepository,smpl.ordering.models.OrderEventInfo,1.0
16,smpl.ordering.repositories.OrderRepository,smpl.ordering.controllers.OrderController,1.0
17,smpl.ordering.repositories.DealersRepository,smpl.ordering.repositories.mock.MockDealersRepository,1.0
18,smpl.ordering.repositories.DealersRepository,smpl.ordering.repositories.mongodb.MongoDealersRepository,1.0
19,smpl.ordering.repositories.DealersRepository,smpl.ordering.repositories.mongodb.models.Dealer,1.0
20,smpl.ordering.repositories.DealersRepository,smpl.ordering.models.DealerInfo,1.0
21,smpl.ordering.repositories.DealersRepository,smpl.ordering.controllers.DealerController,1.0
22,smpl.ordering.repositories.ShipmentRepository,smpl.ordering.repositories.mock.MockShipmentRepository,1.0
