,ClassA,ClassB,ReferenceCount
0,smpl.ordering.AppInsightsFilter,smpl.ordering.Utility,2
0,smpl.ordering.ConflictingRequestException,smpl.ordering.BadRequestException,1
0,smpl.ordering.OrderingConfiguration,smpl.ordering.OrderingServiceProperties,2
0,smpl.ordering.OrderingConfiguration,smpl.ordering.Utility,2
0,smpl.ordering.OrderingConfiguration,smpl.ordering.MongoDBProperties,2
0,smpl.ordering.OrderingConfiguration,smpl.ordering.repositories.RepositoryFactory,2
0,smpl.ordering.Utility,smpl.ordering.OrderingConfiguration,1
0,smpl.ordering.controllers.CatalogController,smpl.ordering.OrderingInitializer,1
0,smpl.ordering.controllers.CatalogController,smpl.ordering.Utility,5
0,smpl.ordering.controllers.CatalogController,smpl.ordering.models.CatalogItem,3
0,smpl.ordering.controllers.CatalogController,smpl.ordering.repositories.CatalogItemsRepository,7
0,smpl.ordering.controllers.CatalogController,smpl.ordering.repositories.RepositoryFactory,1
0,smpl.ordering.controllers.DealerController,smpl.ordering.OrderingInitializer,1
0,smpl.ordering.controllers.DealerController,smpl.ordering.Utility,5
0,smpl.ordering.controllers.DealerController,smpl.ordering.models.DealerInfo,3
0,smpl.ordering.controllers.DealerController,smpl.ordering.repositories.DealersRepository,7
0,smpl.ordering.controllers.DealerController,smpl.ordering.repositories.RepositoryFactory,1
0,smpl.ordering.controllers.OrderController,smpl.ordering.Utility,7
0,smpl.ordering.controllers.OrderController,smpl.ordering.models.Order,4
0,smpl.ordering.controllers.OrderController,smpl.ordering.models.OrderEventInfo,2
0,smpl.ordering.controllers.OrderController,smpl.ordering.repositories.OrderRepository,10
0,smpl.ordering.controllers.OrderController,smpl.ordering.BadRequestException,2
0,smpl.ordering.controllers.OrderController,smpl.ordering.ConflictingRequestException,1
0,smpl.ordering.controllers.OrderController,smpl.ordering.OrderingInitializer,1
0,smpl.ordering.controllers.OrderController,smpl.ordering.repositories.QuoteRepository,1
0,smpl.ordering.controllers.OrderController,smpl.ordering.repositories.RepositoryFactory,2
0,smpl.ordering.controllers.OrderController,smpl.ordering.models.OrderUpdateInfo,1
0,smpl.ordering.controllers.PingController,smpl.ordering.OrderingServiceProperties,2
0,smpl.ordering.controllers.PingController,smpl.ordering.PropertyHelper,1
0,smpl.ordering.controllers.PingController,smpl.ordering.Utility,1
0,smpl.ordering.controllers.QuoteController,smpl.ordering.BadRequestException,1
0,smpl.ordering.controllers.QuoteController,smpl.ordering.OrderingInitializer,1
0,smpl.ordering.controllers.QuoteController,smpl.ordering.Utility,5
0,smpl.ordering.controllers.QuoteController,smpl.ordering.models.Quote,3
0,smpl.ordering.controllers.QuoteController,smpl.ordering.repositories.QuoteRepository,5
0,smpl.ordering.controllers.QuoteController,smpl.ordering.repositories.RepositoryFactory,1
0,smpl.ordering.controllers.ShipmentController,smpl.ordering.Utility,6
0,smpl.ordering.controllers.ShipmentController,smpl.ordering.models.ShipmentEventInfo,2
0,smpl.ordering.controllers.ShipmentController,smpl.ordering.repositories.ShipmentRepository,10
0,smpl.ordering.controllers.ShipmentController,smpl.ordering.BadRequestException,1
0,smpl.ordering.controllers.ShipmentController,smpl.ordering.OrderingInitializer,1
0,smpl.ordering.controllers.ShipmentController,smpl.ordering.models.ShipmentRecord,5
0,smpl.ordering.controllers.ShipmentController,smpl.ordering.models.Delivery,4
0,smpl.ordering.controllers.ShipmentController,smpl.ordering.models.Order,1
0,smpl.ordering.controllers.ShipmentController,smpl.ordering.models.OrderStatus,1
0,smpl.ordering.controllers.ShipmentController,smpl.ordering.repositories.OrderRepository,1
0,smpl.ordering.controllers.ShipmentController,smpl.ordering.repositories.QuoteRepository,1
0,smpl.ordering.controllers.ShipmentController,smpl.ordering.repositories.RepositoryFactory,3
0,smpl.ordering.models.CatalogItem,smpl.ordering.Utility,1
0,smpl.ordering.models.DealerInfo,smpl.ordering.Utility,1
