,className1,className2,ClassNameRel
0,smpl.ordering.AppInsightsFilter.AppInsightsFilter,smpl.ordering.AppInsightsFilter.destroy,0.6666666666666666
1,smpl.ordering.AppInsightsFilter.AppInsightsFilter,smpl.ordering.AppInsightsFilter.doFilter,1.0
2,smpl.ordering.AppInsightsFilter.AppInsightsFilter,smpl.ordering.AppInsightsFilter.init,1.0
3,smpl.ordering.AppInsightsFilter.destroy,smpl.ordering.AppInsightsFilter.doFilter,0.6666666666666666
4,smpl.ordering.AppInsightsFilter.destroy,smpl.ordering.AppInsightsFilter.init,0.6666666666666666
5,smpl.ordering.AppInsightsFilter.destroy,smpl.ordering.SimpleCORSFilter.destroy,0.2
6,smpl.ordering.AppInsightsFilter.doFilter,smpl.ordering.AppInsightsFilter.init,1.0
7,smpl.ordering.BadRequestException.BadRequestException,smpl.ordering.BadRequestException.getMessage,1.0
8,smpl.ordering.ConflictingRequestException.ConflictingRequestException,smpl.ordering.ConflictingRequestException.getMessage,1.0
9,smpl.ordering.MongoDBProperties.MongoDBProperties,smpl.ordering.MongoDBProperties.getDatabase,0.6666666666666666
10,smpl.ordering.MongoDBProperties.MongoDBProperties,smpl.ordering.MongoDBProperties.getHost,0.6666666666666666
11,smpl.ordering.MongoDBProperties.MongoDBProperties,smpl.ordering.MongoDBProperties.setDatabase,0.6666666666666666
12,smpl.ordering.MongoDBProperties.MongoDBProperties,smpl.ordering.MongoDBProperties.setHost,0.6666666666666666
13,smpl.ordering.MongoDBProperties.MongoDBProperties,smpl.ordering.OrderingConfiguration.orderingServiceProperties,0.25
14,smpl.ordering.MongoDBProperties.MongoDBProperties,smpl.ordering.OrderingServiceProperties.OrderingServiceProperties,0.3333333333333333
15,smpl.ordering.MongoDBProperties.MongoDBProperties,smpl.ordering.OrderingServiceProperties.getInstrumentationKey,0.2
16,smpl.ordering.MongoDBProperties.MongoDBProperties,smpl.ordering.OrderingServiceProperties.getPingMessage,0.25
17,smpl.ordering.MongoDBProperties.MongoDBProperties,smpl.ordering.OrderingServiceProperties.getStorage,0.25
18,smpl.ordering.MongoDBProperties.MongoDBProperties,smpl.ordering.OrderingServiceProperties.getValidationMessage,0.25
19,smpl.ordering.MongoDBProperties.MongoDBProperties,smpl.ordering.OrderingServiceProperties.setInstrumentationKey,0.2
20,smpl.ordering.MongoDBProperties.MongoDBProperties,smpl.ordering.OrderingServiceProperties.setPingMessage,0.25
21,smpl.ordering.MongoDBProperties.MongoDBProperties,smpl.ordering.OrderingServiceProperties.setStorage,0.25
22,smpl.ordering.MongoDBProperties.MongoDBProperties,smpl.ordering.OrderingServiceProperties.setValidationMessage,0.25
23,smpl.ordering.MongoDBProperties.MongoDBProperties,smpl.ordering.PostgresqlProperties.PostgresqlProperties,0.3333333333333333
24,smpl.ordering.MongoDBProperties.MongoDBProperties,smpl.ordering.PostgresqlProperties.getDriverClass,0.2
25,smpl.ordering.MongoDBProperties.MongoDBProperties,smpl.ordering.PostgresqlProperties.getPassword,0.25
26,smpl.ordering.MongoDBProperties.MongoDBProperties,smpl.ordering.PostgresqlProperties.getUrl,0.25
27,smpl.ordering.MongoDBProperties.MongoDBProperties,smpl.ordering.PostgresqlProperties.getUsername,0.25
28,smpl.ordering.MongoDBProperties.MongoDBProperties,smpl.ordering.PostgresqlProperties.setDriverClass,0.2
29,smpl.ordering.MongoDBProperties.MongoDBProperties,smpl.ordering.PostgresqlProperties.setPassword,0.25
30,smpl.ordering.MongoDBProperties.MongoDBProperties,smpl.ordering.PostgresqlProperties.setUrl,0.25
31,smpl.ordering.MongoDBProperties.MongoDBProperties,smpl.ordering.PostgresqlProperties.setUsername,0.25
32,smpl.ordering.MongoDBProperties.MongoDBProperties,smpl.ordering.PropertyHelper.PropertyHelper,0.3333333333333333
33,smpl.ordering.MongoDBProperties.MongoDBProperties,smpl.ordering.PropertyHelper.getPropValues,0.25
34,smpl.ordering.MongoDBProperties.MongoDBProperties,smpl.ordering.PropertyHelper.getProperties,0.3333333333333333
35,smpl.ordering.MongoDBProperties.getDatabase,smpl.ordering.MongoDBProperties.getHost,0.5
36,smpl.ordering.MongoDBProperties.getDatabase,smpl.ordering.MongoDBProperties.setDatabase,1.0
37,smpl.ordering.MongoDBProperties.getDatabase,smpl.ordering.MongoDBProperties.setHost,0.5
38,smpl.ordering.MongoDBProperties.getDatabase,smpl.ordering.OrderingConfiguration.orderingServiceProperties,0.2
39,smpl.ordering.MongoDBProperties.getDatabase,smpl.ordering.OrderingServiceProperties.OrderingServiceProperties,0.25
40,smpl.ordering.MongoDBProperties.getDatabase,smpl.ordering.OrderingServiceProperties.getInstrumentationKey,0.16666666666666666
41,smpl.ordering.MongoDBProperties.getDatabase,smpl.ordering.OrderingServiceProperties.getPingMessage,0.2
42,smpl.ordering.MongoDBProperties.getDatabase,smpl.ordering.OrderingServiceProperties.getStorage,0.2
43,smpl.ordering.MongoDBProperties.getDatabase,smpl.ordering.OrderingServiceProperties.getValidationMessage,0.2
44,smpl.ordering.MongoDBProperties.getDatabase,smpl.ordering.OrderingServiceProperties.setInstrumentationKey,0.16666666666666666
45,smpl.ordering.MongoDBProperties.getDatabase,smpl.ordering.OrderingServiceProperties.setPingMessage,0.2
46,smpl.ordering.MongoDBProperties.getDatabase,smpl.ordering.OrderingServiceProperties.setStorage,0.2
47,smpl.ordering.MongoDBProperties.getDatabase,smpl.ordering.OrderingServiceProperties.setValidationMessage,0.2
48,smpl.ordering.MongoDBProperties.getDatabase,smpl.ordering.PostgresqlProperties.PostgresqlProperties,0.25
49,smpl.ordering.MongoDBProperties.getDatabase,smpl.ordering.PostgresqlProperties.getDriverClass,0.16666666666666666
50,smpl.ordering.MongoDBProperties.getDatabase,smpl.ordering.PostgresqlProperties.getPassword,0.2
51,smpl.ordering.MongoDBProperties.getDatabase,smpl.ordering.PostgresqlProperties.getUrl,0.2
