,MethodA,MethodB,ReferenceCount
0,smpl.ordering.AppInsightsFilter.doFilter,smpl.ordering.Utility.getTelemetryClient,1
0,smpl.ordering.AppInsightsFilter.doFilter,smpl.ordering.Utility.isNullOrEmpty,1
0,smpl.ordering.ConflictingRequestException.ConflictingRequestException,smpl.ordering.BadRequestException.BadRequestException,1
0,smpl.ordering.MongoDBProperties.MongoDBProperties,smpl.ordering.MongoDBProperties.database,1
0,smpl.ordering.MongoDBProperties.MongoDBProperties,smpl.ordering.MongoDBProperties.host,1
0,smpl.ordering.MongoDBProperties.getDatabase,smpl.ordering.MongoDBProperties.database,1
0,smpl.ordering.MongoDBProperties.getHost,smpl.ordering.MongoDBProperties.host,1
0,smpl.ordering.MongoDBProperties.setDatabase,smpl.ordering.MongoDBProperties.database,1
0,smpl.ordering.MongoDBProperties.setHost,smpl.ordering.MongoDBProperties.host,1
0,smpl.ordering.OrderingConfiguration.OrderingConfiguration,smpl.ordering.OrderingConfiguration.t_ambientTelemetryClient,1
0,smpl.ordering.OrderingConfiguration.getApplicationContext,smpl.ordering.OrderingConfiguration.applicationContext,1
0,smpl.ordering.OrderingConfiguration.getTelemetryClient,smpl.ordering.OrderingConfiguration.orderingServiceProperties,1
0,smpl.ordering.OrderingConfiguration.getTelemetryClient,smpl.ordering.OrderingConfiguration.t_ambientTelemetryClient,1
0,smpl.ordering.OrderingConfiguration.getTelemetryClient,smpl.ordering.OrderingServiceProperties.getInstrumentationKey,1
0,smpl.ordering.OrderingConfiguration.getTelemetryClient,smpl.ordering.Utility.isNullOrEmpty,1
0,smpl.ordering.OrderingConfiguration.mongoTemplate,smpl.ordering.MongoDBProperties.getDatabase,1
0,smpl.ordering.OrderingConfiguration.mongoTemplate,smpl.ordering.MongoDBProperties.getHost,1
0,smpl.ordering.OrderingConfiguration.mongoTemplate,smpl.ordering.OrderingConfiguration.mongoDBProperties,1
0,smpl.ordering.OrderingConfiguration.mongoTemplate,smpl.ordering.Utility.isNullOrEmpty,1
0,smpl.ordering.OrderingConfiguration.repositoryFactory,smpl.ordering.OrderingConfiguration.orderingServiceProperties,1
0,smpl.ordering.OrderingConfiguration.repositoryFactory,smpl.ordering.OrderingServiceProperties.getStorage,1
0,smpl.ordering.OrderingConfiguration.repositoryFactory,smpl.ordering.repositories.RepositoryFactory.getFactory,1
0,smpl.ordering.OrderingConfiguration.repositoryFactory,smpl.ordering.repositories.RepositoryFactory.reset,1
0,smpl.ordering.OrderingConfiguration.setApplicationContext,smpl.ordering.OrderingConfiguration.applicationContext,1
0,smpl.ordering.OrderingInitializer.getApplicationPath,smpl.ordering.OrderingInitializer.s_applicationPath,1
0,smpl.ordering.OrderingInitializer.onStartup,smpl.ordering.OrderingInitializer.s_applicationPath,1
0,smpl.ordering.OrderingInitializer.static {},smpl.ordering.OrderingInitializer.s_applicationPath,1
0,smpl.ordering.OrderingServiceProperties.OrderingServiceProperties,smpl.ordering.OrderingServiceProperties.instrumentationKey,1
0,smpl.ordering.OrderingServiceProperties.OrderingServiceProperties,smpl.ordering.OrderingServiceProperties.pingMessage,1
0,smpl.ordering.OrderingServiceProperties.OrderingServiceProperties,smpl.ordering.OrderingServiceProperties.storage,1
0,smpl.ordering.OrderingServiceProperties.OrderingServiceProperties,smpl.ordering.OrderingServiceProperties.validationMessage,1
0,smpl.ordering.OrderingServiceProperties.getInstrumentationKey,smpl.ordering.OrderingServiceProperties.instrumentationKey,1
0,smpl.ordering.OrderingServiceProperties.getPingMessage,smpl.ordering.OrderingServiceProperties.pingMessage,1
0,smpl.ordering.OrderingServiceProperties.getStorage,smpl.ordering.OrderingServiceProperties.storage,1
0,smpl.ordering.OrderingServiceProperties.getValidationMessage,smpl.ordering.OrderingServiceProperties.validationMessage,1
0,smpl.ordering.OrderingServiceProperties.setInstrumentationKey,smpl.ordering.OrderingServiceProperties.instrumentationKey,1
0,smpl.ordering.OrderingServiceProperties.setPingMessage,smpl.ordering.OrderingServiceProperties.pingMessage,1
0,smpl.ordering.OrderingServiceProperties.setStorage,smpl.ordering.OrderingServiceProperties.storage,1
0,smpl.ordering.OrderingServiceProperties.setValidationMessage,smpl.ordering.OrderingServiceProperties.validationMessage,1
0,smpl.ordering.PostgresqlProperties.getDriverClass,smpl.ordering.PostgresqlProperties.driverClass,1
0,smpl.ordering.PostgresqlProperties.getPassword,smpl.ordering.PostgresqlProperties.password,1
0,smpl.ordering.PostgresqlProperties.getUrl,smpl.ordering.PostgresqlProperties.url,1
0,smpl.ordering.PostgresqlProperties.getUsername,smpl.ordering.PostgresqlProperties.username,1
0,smpl.ordering.PostgresqlProperties.setDriverClass,smpl.ordering.PostgresqlProperties.driverClass,1
0,smpl.ordering.PostgresqlProperties.setPassword,smpl.ordering.PostgresqlProperties.password,1
0,smpl.ordering.PostgresqlProperties.setUrl,smpl.ordering.PostgresqlProperties.url,1
0,smpl.ordering.PostgresqlProperties.setUsername,smpl.ordering.PostgresqlProperties.username,1
0,smpl.ordering.PropertyHelper.getProperties,smpl.ordering.PropertyHelper.s_props,1
0,smpl.ordering.PropertyHelper.static {},smpl.ordering.PropertyHelper.getPropValues,1
0,smpl.ordering.PropertyHelper.static {},smpl.ordering.PropertyHelper.s_props,1
0,smpl.ordering.Utility.getTelemetryClient,smpl.ordering.OrderingConfiguration.getApplicationContext,1
0,smpl.ordering.Utility.validateStringField,smpl.ordering.Utility.isNullOrEmpty,1
0,smpl.ordering.controllers.CatalogController.addCatalogItem,smpl.ordering.OrderingInitializer.getApplicationPath,1
0,smpl.ordering.controllers.CatalogController.addCatalogItem,smpl.ordering.Utility.getTelemetryClient,1
0,smpl.ordering.controllers.CatalogController.addCatalogItem,smpl.ordering.controllers.CatalogController.getRepository,1
0,smpl.ordering.controllers.CatalogController.addCatalogItem,smpl.ordering.models.CatalogItem.getSkuNumber,1
0,smpl.ordering.controllers.CatalogController.addCatalogItem,smpl.ordering.models.CatalogItem.validate,1
0,smpl.ordering.controllers.CatalogController.addCatalogItem,smpl.ordering.repositories.CatalogItemsRepository.getCatalogItem,1
0,smpl.ordering.controllers.CatalogController.addCatalogItem,smpl.ordering.repositories.CatalogItemsRepository.upsertCatalogItem,1
0,smpl.ordering.controllers.CatalogController.getCatalogItem,smpl.ordering.Utility.getTelemetryClient,1
0,smpl.ordering.controllers.CatalogController.getCatalogItem,smpl.ordering.controllers.CatalogController.getRepository,1
0,smpl.ordering.controllers.CatalogController.getCatalogItem,smpl.ordering.repositories.CatalogItemsRepository.getCatalogItem,1
0,smpl.ordering.controllers.CatalogController.getCatalogItems,smpl.ordering.Utility.getTelemetryClient,1
0,smpl.ordering.controllers.CatalogController.getCatalogItems,smpl.ordering.controllers.CatalogController.getRepository,1
0,smpl.ordering.controllers.CatalogController.getCatalogItems,smpl.ordering.repositories.CatalogItemsRepository.getCatalogItems,1
0,smpl.ordering.controllers.CatalogController.getRepository,smpl.ordering.repositories.RepositoryFactory.getCatalogItemsRepository,1
0,smpl.ordering.controllers.CatalogController.removeCatalogItem,smpl.ordering.Utility.getTelemetryClient,1
0,smpl.ordering.controllers.CatalogController.removeCatalogItem,smpl.ordering.controllers.CatalogController.getRepository,1
0,smpl.ordering.controllers.CatalogController.removeCatalogItem,smpl.ordering.repositories.CatalogItemsRepository.removeCatalogItem,1
0,smpl.ordering.controllers.CatalogController.upsertCatalogItem,smpl.ordering.Utility.getTelemetryClient,1
0,smpl.ordering.controllers.CatalogController.upsertCatalogItem,smpl.ordering.controllers.CatalogController.getRepository,1
0,smpl.ordering.controllers.CatalogController.upsertCatalogItem,smpl.ordering.models.CatalogItem.validate,1
0,smpl.ordering.controllers.CatalogController.upsertCatalogItem,smpl.ordering.repositories.CatalogItemsRepository.getCatalogItem,1
0,smpl.ordering.controllers.CatalogController.upsertCatalogItem,smpl.ordering.repositories.CatalogItemsRepository.upsertCatalogItem,1
0,smpl.ordering.controllers.DealerController.addDealer,smpl.ordering.OrderingInitializer.getApplicationPath,1
0,smpl.ordering.controllers.DealerController.addDealer,smpl.ordering.Utility.getTelemetryClient,1
0,smpl.ordering.controllers.DealerController.addDealer,smpl.ordering.controllers.DealerController.getRepository,1
0,smpl.ordering.controllers.DealerController.addDealer,smpl.ordering.models.DealerInfo.getName,1
0,smpl.ordering.controllers.DealerController.addDealer,smpl.ordering.models.DealerInfo.validate,1
0,smpl.ordering.controllers.DealerController.addDealer,smpl.ordering.repositories.DealersRepository.getDealer,1
0,smpl.ordering.controllers.DealerController.addDealer,smpl.ordering.repositories.DealersRepository.upsertDealer,1
0,smpl.ordering.controllers.DealerController.getDealer,smpl.ordering.Utility.getTelemetryClient,1
0,smpl.ordering.controllers.DealerController.getDealer,smpl.ordering.controllers.DealerController.getRepository,1
