,className1,className2,ClassNameRel
0,org.springframework.samples.petclinic.PetClinicRuntimeHints,org.springframework.samples.petclinic.PetClinicApplication,0.4
1,org.springframework.samples.petclinic.PetClinicRuntimeHints,org.springframework.samples.petclinic.owner.Pet,0.25
2,org.springframework.samples.petclinic.PetClinicRuntimeHints,org.springframework.samples.petclinic.owner.PetTypeFormatter,0.16666666666666666
3,org.springframework.samples.petclinic.PetClinicRuntimeHints,org.springframework.samples.petclinic.owner.PetController,0.25
4,org.springframework.samples.petclinic.PetClinicRuntimeHints,org.springframework.samples.petclinic.owner.PetValidator,0.2
5,org.springframework.samples.petclinic.PetClinicRuntimeHints,org.springframework.samples.petclinic.owner.PetType,0.2
6,org.springframework.samples.petclinic.PetClinicApplication,org.springframework.samples.petclinic.owner.Pet,0.3333333333333333
7,org.springframework.samples.petclinic.PetClinicApplication,org.springframework.samples.petclinic.owner.PetTypeFormatter,0.2
8,org.springframework.samples.petclinic.PetClinicApplication,org.springframework.samples.petclinic.owner.PetController,0.3333333333333333
9,org.springframework.samples.petclinic.PetClinicApplication,org.springframework.samples.petclinic.owner.PetValidator,0.25
10,org.springframework.samples.petclinic.PetClinicApplication,org.springframework.samples.petclinic.owner.PetType,0.25
11,org.springframework.samples.petclinic.vet.Vet,org.springframework.samples.petclinic.vet.VetController,1.0
12,org.springframework.samples.petclinic.vet.Vet,org.springframework.samples.petclinic.vet.VetRepository,1.0
13,org.springframework.samples.petclinic.vet.Vet,org.springframework.samples.petclinic.vet.Vets,1.0
14,org.springframework.samples.petclinic.vet.VetController,org.springframework.samples.petclinic.vet.VetRepository,1.0
15,org.springframework.samples.petclinic.vet.VetController,org.springframework.samples.petclinic.vet.Vets,1.0
16,org.springframework.samples.petclinic.vet.VetRepository,org.springframework.samples.petclinic.vet.Vets,1.0
17,org.springframework.samples.petclinic.owner.Pet,org.springframework.samples.petclinic.owner.PetTypeFormatter,0.3333333333333333
18,org.springframework.samples.petclinic.owner.Pet,org.springframework.samples.petclinic.owner.PetController,1.0
19,org.springframework.samples.petclinic.owner.Pet,org.springframework.samples.petclinic.owner.PetValidator,0.5
20,org.springframework.samples.petclinic.owner.Pet,org.springframework.samples.petclinic.owner.PetType,0.5
21,org.springframework.samples.petclinic.owner.VisitController,org.springframework.samples.petclinic.owner.Visit,1.0
22,org.springframework.samples.petclinic.owner.PetTypeFormatter,org.springframework.samples.petclinic.owner.PetController,0.3333333333333333
23,org.springframework.samples.petclinic.owner.PetTypeFormatter,org.springframework.samples.petclinic.owner.PetValidator,0.25
24,org.springframework.samples.petclinic.owner.PetTypeFormatter,org.springframework.samples.petclinic.owner.PetType,0.6666666666666666
25,org.springframework.samples.petclinic.owner.OwnerRepository,org.springframework.samples.petclinic.owner.OwnerController,1.0
26,org.springframework.samples.petclinic.owner.OwnerRepository,org.springframework.samples.petclinic.owner.Owner,1.0
27,org.springframework.samples.petclinic.owner.OwnerController,org.springframework.samples.petclinic.owner.Owner,1.0
28,org.springframework.samples.petclinic.owner.PetController,org.springframework.samples.petclinic.owner.PetValidator,0.5
29,org.springframework.samples.petclinic.owner.PetController,org.springframework.samples.petclinic.owner.PetType,0.5
30,org.springframework.samples.petclinic.owner.PetValidator,org.springframework.samples.petclinic.owner.PetType,0.3333333333333333
