,ClassA,ClassB,ReferenceCount
0,org.springframework.samples.petclinic.model.NamedEntity,org.springframework.samples.petclinic.model.BaseEntity,1
0,org.springframework.samples.petclinic.model.Person,org.springframework.samples.petclinic.model.BaseEntity,1
0,org.springframework.samples.petclinic.owner.Owner,org.springframework.samples.petclinic.model.Person,1
0,org.springframework.samples.petclinic.owner.Owner,org.springframework.samples.petclinic.owner.Pet,6
0,org.springframework.samples.petclinic.owner.OwnerController,org.springframework.samples.petclinic.owner.Owner,7
0,org.springframework.samples.petclinic.owner.OwnerController,org.springframework.samples.petclinic.owner.OwnerRepository,6
0,org.springframework.samples.petclinic.owner.Pet,org.springframework.samples.petclinic.model.NamedEntity,1
0,org.springframework.samples.petclinic.owner.PetController,org.springframework.samples.petclinic.owner.OwnerRepository,5
0,org.springframework.samples.petclinic.owner.PetController,org.springframework.samples.petclinic.owner.Owner,6
0,org.springframework.samples.petclinic.owner.PetController,org.springframework.samples.petclinic.owner.Pet,4
0,org.springframework.samples.petclinic.owner.PetController,org.springframework.samples.petclinic.owner.PetValidator,1
0,org.springframework.samples.petclinic.owner.PetType,org.springframework.samples.petclinic.model.NamedEntity,1
0,org.springframework.samples.petclinic.owner.PetTypeFormatter,org.springframework.samples.petclinic.owner.OwnerRepository,1
0,org.springframework.samples.petclinic.owner.PetTypeFormatter,org.springframework.samples.petclinic.owner.PetType,2
0,org.springframework.samples.petclinic.owner.PetValidator,org.springframework.samples.petclinic.owner.Pet,4
0,org.springframework.samples.petclinic.owner.Visit,org.springframework.samples.petclinic.model.BaseEntity,1
0,org.springframework.samples.petclinic.owner.VisitController,org.springframework.samples.petclinic.owner.Owner,2
0,org.springframework.samples.petclinic.owner.VisitController,org.springframework.samples.petclinic.owner.OwnerRepository,2
0,org.springframework.samples.petclinic.owner.VisitController,org.springframework.samples.petclinic.owner.Pet,1
0,org.springframework.samples.petclinic.owner.VisitController,org.springframework.samples.petclinic.owner.Visit,1
0,org.springframework.samples.petclinic.vet.Specialty,org.springframework.samples.petclinic.model.NamedEntity,1
0,org.springframework.samples.petclinic.vet.Vet,org.springframework.samples.petclinic.model.Person,1
0,org.springframework.samples.petclinic.vet.VetController,org.springframework.samples.petclinic.vet.VetRepository,2
0,org.springframework.samples.petclinic.vet.VetController,org.springframework.samples.petclinic.vet.Vets,4
