,methodA,methodB,weight
0,org.springframework.samples.petclinic.PetClinicApplication.main,org.springframework.samples.petclinic.model.BaseEntity.getId,0.125
0,org.springframework.samples.petclinic.PetClinicApplication.main,org.springframework.samples.petclinic.model.BaseEntity.isNew,0.1111111111111111
0,org.springframework.samples.petclinic.PetClinicApplication.main,org.springframework.samples.petclinic.model.BaseEntity.setId,0.1111111111111111
0,org.springframework.samples.petclinic.PetClinicApplication.main,org.springframework.samples.petclinic.model.NamedEntity.getName,0.14285714285714285
0,org.springframework.samples.petclinic.PetClinicApplication.main,org.springframework.samples.petclinic.model.NamedEntity.setName,0.125
0,org.springframework.samples.petclinic.PetClinicApplication.main,org.springframework.samples.petclinic.model.NamedEntity.toString,0.125
0,org.springframework.samples.petclinic.PetClinicApplication.main,org.springframework.samples.petclinic.model.Person.getFirstName,0.125
0,org.springframework.samples.petclinic.PetClinicApplication.main,org.springframework.samples.petclinic.model.Person.getLastName,0.125
0,org.springframework.samples.petclinic.PetClinicApplication.main,org.springframework.samples.petclinic.model.Person.setFirstName,0.125
0,org.springframework.samples.petclinic.PetClinicApplication.main,org.springframework.samples.petclinic.model.Person.setLastName,0.14285714285714285
0,org.springframework.samples.petclinic.PetClinicApplication.main,org.springframework.samples.petclinic.owner.Owner.addPet,0.1111111111111111
0,org.springframework.samples.petclinic.PetClinicApplication.main,org.springframework.samples.petclinic.owner.Owner.getAddress,0.125
0,org.springframework.samples.petclinic.PetClinicApplication.main,org.springframework.samples.petclinic.owner.Owner.getCity,0.125
0,org.springframework.samples.petclinic.PetClinicApplication.main,org.springframework.samples.petclinic.owner.Owner.getPet,0.11764705882352941
0,org.springframework.samples.petclinic.PetClinicApplication.main,org.springframework.samples.petclinic.owner.Owner.getPets,0.11764705882352941
0,org.springframework.samples.petclinic.PetClinicApplication.main,org.springframework.samples.petclinic.owner.Owner.getTelephone,0.125
0,org.springframework.samples.petclinic.PetClinicApplication.main,org.springframework.samples.petclinic.owner.Owner.isNew,0.11764705882352941
0,org.springframework.samples.petclinic.PetClinicApplication.main,org.springframework.samples.petclinic.owner.Owner.setAddress,0.125
0,org.springframework.samples.petclinic.PetClinicApplication.main,org.springframework.samples.petclinic.owner.Owner.setCity,0.125
0,org.springframework.samples.petclinic.PetClinicApplication.main,org.springframework.samples.petclinic.owner.Owner.setTelephone,0.125
0,org.springframework.samples.petclinic.PetClinicApplication.main,org.springframework.samples.petclinic.owner.Owner.toString,0.11764705882352941
0,org.springframework.samples.petclinic.PetClinicApplication.main,org.springframework.samples.petclinic.owner.OwnerController.OwnerController,0.06896551724137931
0,org.springframework.samples.petclinic.PetClinicApplication.main,org.springframework.samples.petclinic.owner.OwnerController.initCreationForm,0.07407407407407407
0,org.springframework.samples.petclinic.PetClinicApplication.main,org.springframework.samples.petclinic.owner.OwnerController.initFindForm,0.07142857142857142
0,org.springframework.samples.petclinic.PetClinicApplication.main,org.springframework.samples.petclinic.owner.OwnerController.initUpdateOwnerForm,0.07407407407407407
0,org.springframework.samples.petclinic.PetClinicApplication.main,org.springframework.samples.petclinic.owner.OwnerController.processCreationForm,0.07142857142857142
0,org.springframework.samples.petclinic.PetClinicApplication.main,org.springframework.samples.petclinic.owner.OwnerController.setAllowedFields,0.07407407407407407
0,org.springframework.samples.petclinic.PetClinicApplication.main,org.springframework.samples.petclinic.owner.OwnerController.showOwner,0.06666666666666667
0,org.springframework.samples.petclinic.PetClinicApplication.main,org.springframework.samples.petclinic.owner.Pet.Pet,0.09523809523809523
0,org.springframework.samples.petclinic.PetClinicApplication.main,org.springframework.samples.petclinic.owner.Pet.addVisit,0.08695652173913043
0,org.springframework.samples.petclinic.PetClinicApplication.main,org.springframework.samples.petclinic.owner.Pet.getBirthDate,0.09523809523809523
0,org.springframework.samples.petclinic.PetClinicApplication.main,org.springframework.samples.petclinic.owner.Pet.getType,0.09523809523809523
0,org.springframework.samples.petclinic.PetClinicApplication.main,org.springframework.samples.petclinic.owner.Pet.getVisits,0.09090909090909091
0,org.springframework.samples.petclinic.PetClinicApplication.main,org.springframework.samples.petclinic.owner.Pet.setBirthDate,0.09523809523809523
0,org.springframework.samples.petclinic.PetClinicApplication.main,org.springframework.samples.petclinic.owner.Pet.setType,0.09523809523809523
0,org.springframework.samples.petclinic.PetClinicApplication.main,org.springframework.samples.petclinic.owner.PetController.PetController,0.07407407407407407
0,org.springframework.samples.petclinic.PetClinicApplication.main,org.springframework.samples.petclinic.owner.PetController.findOwner,0.07692307692307693
0,org.springframework.samples.petclinic.PetClinicApplication.main,org.springframework.samples.petclinic.owner.PetController.initCreationForm,0.07692307692307693
0,org.springframework.samples.petclinic.PetClinicApplication.main,org.springframework.samples.petclinic.owner.PetController.initOwnerBinder,0.07692307692307693
0,org.springframework.samples.petclinic.PetClinicApplication.main,org.springframework.samples.petclinic.owner.PetController.initPetBinder,0.07692307692307693
0,org.springframework.samples.petclinic.PetClinicApplication.main,org.springframework.samples.petclinic.owner.PetController.initUpdateForm,0.07407407407407407
0,org.springframework.samples.petclinic.PetClinicApplication.main,org.springframework.samples.petclinic.owner.PetController.populatePetTypes,0.07407407407407407
0,org.springframework.samples.petclinic.PetClinicApplication.main,org.springframework.samples.petclinic.owner.PetController.processCreationForm,0.07142857142857142
0,org.springframework.samples.petclinic.PetClinicApplication.main,org.springframework.samples.petclinic.owner.PetController.processUpdateForm,0.07142857142857142
0,org.springframework.samples.petclinic.PetClinicApplication.main,org.springframework.samples.petclinic.owner.PetTypeFormatter.PetTypeFormatter,0.1
0,org.springframework.samples.petclinic.PetClinicApplication.main,org.springframework.samples.petclinic.owner.PetTypeFormatter.parse,0.1
0,org.springframework.samples.petclinic.PetClinicApplication.main,org.springframework.samples.petclinic.owner.PetTypeFormatter.print,0.1111111111111111
0,org.springframework.samples.petclinic.PetClinicApplication.main,org.springframework.samples.petclinic.owner.PetValidator.supports,0.16666666666666666
0,org.springframework.samples.petclinic.PetClinicApplication.main,org.springframework.samples.petclinic.owner.PetValidator.validate,0.0625
0,org.springframework.samples.petclinic.PetClinicApplication.main,org.springframework.samples.petclinic.owner.Visit.Visit,0.08333333333333333
0,org.springframework.samples.petclinic.PetClinicApplication.main,org.springframework.samples.petclinic.owner.Visit.getDate,0.08333333333333333
0,org.springframework.samples.petclinic.PetClinicApplication.main,org.springframework.samples.petclinic.owner.Visit.getDescription,0.1111111111111111
0,org.springframework.samples.petclinic.PetClinicApplication.main,org.springframework.samples.petclinic.owner.Visit.setDate,0.08333333333333333
0,org.springframework.samples.petclinic.PetClinicApplication.main,org.springframework.samples.petclinic.owner.Visit.setDescription,0.1111111111111111
0,org.springframework.samples.petclinic.PetClinicApplication.main,org.springframework.samples.petclinic.owner.VisitController.VisitController,0.07142857142857142
0,org.springframework.samples.petclinic.PetClinicApplication.main,org.springframework.samples.petclinic.owner.VisitController.initNewVisitForm,0.058823529411764705
0,org.springframework.samples.petclinic.PetClinicApplication.main,org.springframework.samples.petclinic.owner.VisitController.setAllowedFields,0.125
0,org.springframework.samples.petclinic.PetClinicApplication.main,org.springframework.samples.petclinic.system.CacheConfiguration.CacheConfiguration,0.08333333333333333
0,org.springframework.samples.petclinic.PetClinicApplication.main,org.springframework.samples.petclinic.system.CacheConfiguration.cacheConfiguration,0.07142857142857142
0,org.springframework.samples.petclinic.PetClinicApplication.main,org.springframework.samples.petclinic.system.CacheConfiguration.petclinicCacheConfigurationCustomizer,0.08333333333333333
0,org.springframework.samples.petclinic.PetClinicApplication.main,org.springframework.samples.petclinic.system.CrashController.triggerException,0.16666666666666666
0,org.springframework.samples.petclinic.PetClinicApplication.main,org.springframework.samples.petclinic.system.WelcomeController.welcome,0.2857142857142857
0,org.springframework.samples.petclinic.PetClinicApplication.main,org.springframework.samples.petclinic.vet.Vet.addSpecialty,0.125
0,org.springframework.samples.petclinic.PetClinicApplication.main,org.springframework.samples.petclinic.vet.Vet.getNrOfSpecialties,0.125
0,org.springframework.samples.petclinic.PetClinicApplication.main,org.springframework.samples.petclinic.vet.Vet.getSpecialties,0.1111111111111111
0,org.springframework.samples.petclinic.PetClinicApplication.main,org.springframework.samples.petclinic.vet.Vet.getSpecialtiesInternal,0.1111111111111111
0,org.springframework.samples.petclinic.PetClinicApplication.main,org.springframework.samples.petclinic.vet.Vet.setSpecialtiesInternal,0.14285714285714285
0,org.springframework.samples.petclinic.PetClinicApplication.main,org.springframework.samples.petclinic.vet.VetController.VetController,0.14285714285714285
0,org.springframework.samples.petclinic.PetClinicApplication.main,org.springframework.samples.petclinic.vet.VetController.addPaginationModel,0.14285714285714285
0,org.springframework.samples.petclinic.PetClinicApplication.main,org.springframework.samples.petclinic.vet.VetController.showResourcesVetList,0.14285714285714285
0,org.springframework.samples.petclinic.PetClinicApplication.main,org.springframework.samples.petclinic.vet.VetController.showVetList,0.14285714285714285
0,org.springframework.samples.petclinic.PetClinicApplication.main,org.springframework.samples.petclinic.vet.Vets.getVetList,0.1111111111111111
0,org.springframework.samples.petclinic.model.BaseEntity.getId,org.springframework.samples.petclinic.PetClinicApplication.main,0.125
0,org.springframework.samples.petclinic.model.BaseEntity.getId,org.springframework.samples.petclinic.model.BaseEntity.isNew,0.75
0,org.springframework.samples.petclinic.model.BaseEntity.getId,org.springframework.samples.petclinic.model.BaseEntity.setId,0.75
0,org.springframework.samples.petclinic.model.BaseEntity.getId,org.springframework.samples.petclinic.model.NamedEntity.getName,0.25
0,org.springframework.samples.petclinic.model.BaseEntity.getId,org.springframework.samples.petclinic.model.NamedEntity.setName,1.0
0,org.springframework.samples.petclinic.model.BaseEntity.getId,org.springframework.samples.petclinic.model.NamedEntity.toString,1.0
0,org.springframework.samples.petclinic.model.BaseEntity.getId,org.springframework.samples.petclinic.model.Person.getFirstName,1.0
0,org.springframework.samples.petclinic.model.BaseEntity.getId,org.springframework.samples.petclinic.model.Person.getLastName,1.0
0,org.springframework.samples.petclinic.model.BaseEntity.getId,org.springframework.samples.petclinic.model.Person.setFirstName,1.0
0,org.springframework.samples.petclinic.model.BaseEntity.getId,org.springframework.samples.petclinic.model.Person.setLastName,0.6666666666666666
0,org.springframework.samples.petclinic.model.BaseEntity.getId,org.springframework.samples.petclinic.owner.Owner.addPet,0.21428571428571427
0,org.springframework.samples.petclinic.model.BaseEntity.getId,org.springframework.samples.petclinic.owner.Owner.getAddress,0.25
0,org.springframework.samples.petclinic.model.BaseEntity.getId,org.springframework.samples.petclinic.owner.Owner.getCity,0.25
0,org.springframework.samples.petclinic.model.BaseEntity.getId,org.springframework.samples.petclinic.owner.Owner.getPet,0.23076923076923078
0,org.springframework.samples.petclinic.model.BaseEntity.getId,org.springframework.samples.petclinic.owner.Owner.getPets,0.23076923076923078
0,org.springframework.samples.petclinic.model.BaseEntity.getId,org.springframework.samples.petclinic.owner.Owner.getTelephone,0.25
0,org.springframework.samples.petclinic.model.BaseEntity.getId,org.springframework.samples.petclinic.owner.Owner.isNew,0.23076923076923078
0,org.springframework.samples.petclinic.model.BaseEntity.getId,org.springframework.samples.petclinic.owner.Owner.setAddress,0.25
0,org.springframework.samples.petclinic.model.BaseEntity.getId,org.springframework.samples.petclinic.owner.Owner.setCity,0.25
