,MethodA,MethodB,ReferenceCount
0,org.springframework.samples.petclinic.model.BaseEntity.getId,org.springframework.samples.petclinic.model.BaseEntity.id,1
0,org.springframework.samples.petclinic.model.BaseEntity.isNew,org.springframework.samples.petclinic.model.BaseEntity.id,1
0,org.springframework.samples.petclinic.model.BaseEntity.setId,org.springframework.samples.petclinic.model.BaseEntity.id,1
0,org.springframework.samples.petclinic.model.NamedEntity.NamedEntity,org.springframework.samples.petclinic.model.BaseEntity.BaseEntity,1
0,org.springframework.samples.petclinic.model.NamedEntity.getName,org.springframework.samples.petclinic.model.NamedEntity.name,1
0,org.springframework.samples.petclinic.model.NamedEntity.setName,org.springframework.samples.petclinic.model.NamedEntity.name,1
0,org.springframework.samples.petclinic.model.NamedEntity.toString,org.springframework.samples.petclinic.model.NamedEntity.getName,1
0,org.springframework.samples.petclinic.model.Person.Person,org.springframework.samples.petclinic.model.BaseEntity.BaseEntity,1
0,org.springframework.samples.petclinic.model.Person.getFirstName,org.springframework.samples.petclinic.model.Person.firstName,1
0,org.springframework.samples.petclinic.model.Person.getLastName,org.springframework.samples.petclinic.model.Person.lastName,1
0,org.springframework.samples.petclinic.model.Person.setFirstName,org.springframework.samples.petclinic.model.Person.firstName,1
0,org.springframework.samples.petclinic.model.Person.setLastName,org.springframework.samples.petclinic.model.Person.lastName,1
0,org.springframework.samples.petclinic.owner.Owner.Owner,org.springframework.samples.petclinic.model.Person.Person,1
0,org.springframework.samples.petclinic.owner.Owner.Owner,org.springframework.samples.petclinic.owner.Owner.pets,1
0,org.springframework.samples.petclinic.owner.Owner.addPet,org.springframework.samples.petclinic.owner.Owner.getPets,1
0,org.springframework.samples.petclinic.owner.Owner.addPet,org.springframework.samples.petclinic.owner.Pet.isNew,1
0,org.springframework.samples.petclinic.owner.Owner.addVisit,org.springframework.samples.petclinic.owner.Owner.getPet,1
0,org.springframework.samples.petclinic.owner.Owner.addVisit,org.springframework.samples.petclinic.owner.Pet.addVisit,1
0,org.springframework.samples.petclinic.owner.Owner.getAddress,org.springframework.samples.petclinic.owner.Owner.address,1
0,org.springframework.samples.petclinic.owner.Owner.getCity,org.springframework.samples.petclinic.owner.Owner.city,1
0,org.springframework.samples.petclinic.owner.Owner.getPet,org.springframework.samples.petclinic.owner.Owner.getPets,2
0,org.springframework.samples.petclinic.owner.Owner.getPet,org.springframework.samples.petclinic.owner.Pet.getId,1
0,org.springframework.samples.petclinic.owner.Owner.getPet,org.springframework.samples.petclinic.owner.Pet.isNew,2
0,org.springframework.samples.petclinic.owner.Owner.getPet,org.springframework.samples.petclinic.owner.Pet.getName,1
0,org.springframework.samples.petclinic.owner.Owner.getPets,org.springframework.samples.petclinic.owner.Owner.pets,1
0,org.springframework.samples.petclinic.owner.Owner.getTelephone,org.springframework.samples.petclinic.owner.Owner.telephone,1
0,org.springframework.samples.petclinic.owner.Owner.setAddress,org.springframework.samples.petclinic.owner.Owner.address,1
0,org.springframework.samples.petclinic.owner.Owner.setCity,org.springframework.samples.petclinic.owner.Owner.city,1
0,org.springframework.samples.petclinic.owner.Owner.setTelephone,org.springframework.samples.petclinic.owner.Owner.telephone,1
0,org.springframework.samples.petclinic.owner.Owner.toString,org.springframework.samples.petclinic.owner.Owner.address,1
0,org.springframework.samples.petclinic.owner.Owner.toString,org.springframework.samples.petclinic.owner.Owner.city,1
0,org.springframework.samples.petclinic.owner.Owner.toString,org.springframework.samples.petclinic.owner.Owner.getFirstName,1
0,org.springframework.samples.petclinic.owner.Owner.toString,org.springframework.samples.petclinic.owner.Owner.getId,1
0,org.springframework.samples.petclinic.owner.Owner.toString,org.springframework.samples.petclinic.owner.Owner.getLastName,1
0,org.springframework.samples.petclinic.owner.Owner.toString,org.springframework.samples.petclinic.owner.Owner.isNew,1
0,org.springframework.samples.petclinic.owner.Owner.toString,org.springframework.samples.petclinic.owner.Owner.telephone,1
0,org.springframework.samples.petclinic.owner.OwnerController.OwnerController,org.springframework.samples.petclinic.owner.OwnerController.owners,1
0,org.springframework.samples.petclinic.owner.OwnerController.findOwner,org.springframework.samples.petclinic.owner.Owner.Owner,1
0,org.springframework.samples.petclinic.owner.OwnerController.findOwner,org.springframework.samples.petclinic.owner.OwnerController.owners,1
0,org.springframework.samples.petclinic.owner.OwnerController.findOwner,org.springframework.samples.petclinic.owner.OwnerRepository.findById,1
0,org.springframework.samples.petclinic.owner.OwnerController.findPaginatedForOwnersLastName,org.springframework.samples.petclinic.owner.OwnerController.owners,1
0,org.springframework.samples.petclinic.owner.OwnerController.findPaginatedForOwnersLastName,org.springframework.samples.petclinic.owner.OwnerRepository.findByLastName,1
0,org.springframework.samples.petclinic.owner.OwnerController.initCreationForm,org.springframework.samples.petclinic.owner.Owner.Owner,1
0,org.springframework.samples.petclinic.owner.OwnerController.initUpdateOwnerForm,org.springframework.samples.petclinic.owner.OwnerController.owners,1
0,org.springframework.samples.petclinic.owner.OwnerController.initUpdateOwnerForm,org.springframework.samples.petclinic.owner.OwnerRepository.findById,1
0,org.springframework.samples.petclinic.owner.OwnerController.processCreationForm,org.springframework.samples.petclinic.owner.Owner.getId,1
0,org.springframework.samples.petclinic.owner.OwnerController.processCreationForm,org.springframework.samples.petclinic.owner.OwnerController.owners,1
0,org.springframework.samples.petclinic.owner.OwnerController.processCreationForm,org.springframework.samples.petclinic.owner.OwnerRepository.save,1
0,org.springframework.samples.petclinic.owner.OwnerController.processFindForm,org.springframework.samples.petclinic.owner.Owner.getId,1
0,org.springframework.samples.petclinic.owner.OwnerController.processFindForm,org.springframework.samples.petclinic.owner.Owner.getLastName,1
0,org.springframework.samples.petclinic.owner.OwnerController.processFindForm,org.springframework.samples.petclinic.owner.Owner.setLastName,1
0,org.springframework.samples.petclinic.owner.OwnerController.processFindForm,org.springframework.samples.petclinic.owner.OwnerController.addPaginationModel,1
0,org.springframework.samples.petclinic.owner.OwnerController.processFindForm,org.springframework.samples.petclinic.owner.OwnerController.findPaginatedForOwnersLastName,1
0,org.springframework.samples.petclinic.owner.OwnerController.processUpdateOwnerForm,org.springframework.samples.petclinic.owner.Owner.setId,1
0,org.springframework.samples.petclinic.owner.OwnerController.processUpdateOwnerForm,org.springframework.samples.petclinic.owner.OwnerController.owners,1
0,org.springframework.samples.petclinic.owner.OwnerController.processUpdateOwnerForm,org.springframework.samples.petclinic.owner.OwnerRepository.save,1
0,org.springframework.samples.petclinic.owner.OwnerController.showOwner,org.springframework.samples.petclinic.owner.OwnerController.owners,1
0,org.springframework.samples.petclinic.owner.OwnerController.showOwner,org.springframework.samples.petclinic.owner.OwnerRepository.findById,1
0,org.springframework.samples.petclinic.owner.Pet.Pet,org.springframework.samples.petclinic.model.NamedEntity.NamedEntity,1
0,org.springframework.samples.petclinic.owner.Pet.Pet,org.springframework.samples.petclinic.owner.Pet.visits,1
0,org.springframework.samples.petclinic.owner.Pet.addVisit,org.springframework.samples.petclinic.owner.Pet.getVisits,1
0,org.springframework.samples.petclinic.owner.Pet.getBirthDate,org.springframework.samples.petclinic.owner.Pet.birthDate,1
0,org.springframework.samples.petclinic.owner.Pet.getType,org.springframework.samples.petclinic.owner.Pet.type,1
0,org.springframework.samples.petclinic.owner.Pet.getVisits,org.springframework.samples.petclinic.owner.Pet.visits,1
0,org.springframework.samples.petclinic.owner.Pet.setBirthDate,org.springframework.samples.petclinic.owner.Pet.birthDate,1
0,org.springframework.samples.petclinic.owner.Pet.setType,org.springframework.samples.petclinic.owner.Pet.type,1
0,org.springframework.samples.petclinic.owner.PetController.PetController,org.springframework.samples.petclinic.owner.PetController.owners,1
0,org.springframework.samples.petclinic.owner.PetController.findOwner,org.springframework.samples.petclinic.owner.OwnerRepository.findById,1
0,org.springframework.samples.petclinic.owner.PetController.findOwner,org.springframework.samples.petclinic.owner.PetController.owners,1
0,org.springframework.samples.petclinic.owner.PetController.findPet,org.springframework.samples.petclinic.owner.Owner.getPet,1
0,org.springframework.samples.petclinic.owner.PetController.findPet,org.springframework.samples.petclinic.owner.OwnerRepository.findById,1
0,org.springframework.samples.petclinic.owner.PetController.findPet,org.springframework.samples.petclinic.owner.Pet.Pet,1
