Application,Tool,Partition Count,Variant,Granularity,Database Entropy,Use Case Entropy,M2M Use Case Entropy,Sarah BCP
demo,mem,4,3600_100_10_LC_final,method_level,45.642062680683296,46.291347675363916,55.11421365733425,55.11421365733425
demo,mem,4,3600_100_10_LC_final,class_level,23.013961458004108,35.330382311798814,55.11421365733425,55.11421365733425
jpetstore,mem,4,3600_100_10_LC_final,method_level,55.63986405363954,28.166793812482727,0.0,26.150682305105565
jpetstore,mem,4,3600_100_10_LC_final,class_level,54.26212973154642,0.0,0.0,26.150682305105565
partsunlimited,mem,4,3600_100_10_LC_final,method_level,100.0,69.44398321083281,0.0,1.6576486922255107
partsunlimited,mem,4,3600_100_10_LC_final,class_level,100.0,59.54382941170593,0.0,1.6576486922255107
spring-petclinic,mem,4,3600_100_10_LC_final,method_level,46.48695887813419,0.0,42.85714285714286,45.04550884667766
spring-petclinic,mem,4,3600_100_10_LC_final,class_level,43.34034975500612,1.243236519169133,42.85714285714286,45.04550884667766
demo,mem,4,3600_100_10_TS_final,method_level,9.024203508745575,0.0,50.26356997846364,55.56565556092432
demo,mem,4,3600_100_10_TS_final,class_level,0.0,0.0,50.26356997846364,55.56565556092432
jpetstore,mem,4,3600_100_10_TS_final,method_level,20.4951296608168,12.320225216247715,23.05293769828728,35.86451124805229
jpetstore,mem,4,3600_100_10_TS_final,class_level,19.315573107298167,0.0,23.05293769828728,35.86451124805229
partsunlimited,mem,4,3600_100_10_TS_final,method_level,8.140933651050519,0.0,11.111111111111116,11.39650274589612
partsunlimited,mem,4,3600_100_10_TS_final,class_level,8.753297107623826,0.0,11.111111111111116,11.39650274589612
spring-petclinic,mem,4,3600_100_10_TS_final,method_level,47.673292444397944,25.0,19.999999999999996,19.999999999999996
spring-petclinic,mem,4,3600_100_10_TS_final,class_level,44.30142792897237,27.486473038338268,19.999999999999996,19.999999999999996
demo,mono2micro,2,business,method_level,85.94162138452978,82.02333085362686,43.56176064800182,52.899093323746314
demo,mono2micro,2,business,class_level,84.08714579262968,75.30913841721673,43.56176064800182,52.899093323746314
demo,mono2micro,3,business,method_level,85.94162138452978,82.02333085362686,75.0,78.73269860827993
demo,mono2micro,3,business,class_level,84.08714579262968,75.30913841721673,75.0,78.73269860827993
demo,mono2micro,4,business,method_level,85.94162138452978,65.7266601732747,80.0,82.98615888662395
demo,mono2micro,4,business,class_level,84.08714579262968,60.37052362689393,80.0,82.98615888662395
demo,mono2micro,5,business,method_level,85.94162138452978,61.646015832821256,83.33333333333334,85.82179907218664
demo,mono2micro,5,business,class_level,84.08714579262968,59.728392448627666,83.33333333333334,85.82179907218664
demo,mono2micro,6,business,method_level,29.27065957519237,22.77677148522398,71.42857142857143,79.6818352053686
demo,mono2micro,6,business,class_level,39.42468320566195,23.43156079607509,71.42857142857143,79.6818352053686
demo,mono2micro,7,business,method_level,13.875926843482612,16.15181557441121,75.0,76.01155198400824
demo,mono2micro,7,business,class_level,1.1075027221866485,10.941621384529787,75.0,76.01155198400824
demo,mono2micro,8,business,method_level,11.399809548648554,14.021649027125704,77.77777777777779,78.6769350968962
demo,mono2micro,8,business,class_level,1.1075027221866485,10.941621384529787,77.77777777777779,78.6769350968962
demo,mono2micro,9,business,method_level,11.399809548648554,6.083875043340359,70.0,70.80924158720659
demo,mono2micro,9,business,class_level,1.1075027221866485,0.0,70.0,70.80924158720659
jpetstore,mono2micro,3,business,method_level,61.92532294828137,33.619392884985736,10.228427314668487,33.62179319806336
jpetstore,mono2micro,3,business,class_level,57.009307638669405,16.53075344079088,10.228427314668487,33.62179319806336
jpetstore,mono2micro,5,business,method_level,61.92532294828137,29.463110602179032,32.274112777602184,46.092168012997206
jpetstore,mono2micro,5,business,class_level,57.009307638669405,12.116194390172907,32.274112777602184,46.092168012997206
partsunlimited,mono2micro,5,business,method_level,33.89542014258371,24.776108650607686,40.0,40.66491014274962
partsunlimited,mono2micro,5,business,class_level,32.950602434610765,19.451246082654873,40.0,40.66491014274962
spring-petclinic,mono2micro,3,business,method_level,66.57925706219007,34.74387711053375,33.333333333333336,33.333333333333336
spring-petclinic,mono2micro,3,business,class_level,64.93811945582321,28.547439616787585,33.333333333333336,33.333333333333336
spring-petclinic,mono2micro,5,business,method_level,56.427448702971425,17.77501491579665,32.67132048600136,34.728392448627666
spring-petclinic,mono2micro,5,business,class_level,48.04979759578839,9.56842176823709,32.67132048600136,34.728392448627666
demo,tomicroservices,2,cohesion,method_level,87.48993941154531,87.71681378873694,66.66666666666667,66.66666666666667
demo,tomicroservices,3,cohesion,method_level,65.77796170978975,77.98134485796135,57.67132048600136,66.2791976039242
demo,tomicroservices,4,cohesion,method_level,68.82310029355729,56.383795967334414,46.13705638880109,60.24272089013583
demo,tomicroservices,5,cohesion,method_level,35.59736163442798,44.647312577407796,26.137056388801096,39.936288863753546
demo,tomicroservices,6,cohesion,method_level,0.22911533890377367,14.624801862190296,41.72226369028805,47.86556397457249
demo,tomicroservices,7,cohesion,method_level,0.0,1.1075027221866485,15.34264097200273,24.795287687930177
demo,tomicroservices,8,cohesion,method_level,0.0,2.9534217164620014,24.74901419733576,39.782850195133214
demo,tomicroservices,9,cohesion,method_level,0.0,0.0,16.137056388801096,30.608624447663924
demo,tomicroservices,10,cohesion,method_level,0.0,7.927297382488208,37.70881578254893,44.86446292193483
jpetstore,tomicroservices,3,cohesion,method_level,91.59678410938612,83.93797501584197,23.013961458004097,42.20387654703943
jpetstore,tomicroservices,5,cohesion,method_level,46.53769017498881,77.93571274787007,55.11421365733425,60.35150468487793
partsunlimited,tomicroservices,5,cohesion,method_level,39.53782399710053,72.99277520981258,38.41116916640328,46.53170823032191
spring-petclinic,tomicroservices,3,cohesion,method_level,59.355991261864474,43.964749101869614,33.333333333333336,33.333333333333336
spring-petclinic,tomicroservices,5,cohesion,method_level,28.57142857142857,14.162916071680387,16.666666666666664,18.329065812191057
demo,tomicroservices,2,coupling,method_level,66.87220887612273,92.05158049344395,66.66666666666667,66.66666666666667
demo,tomicroservices,3,coupling,method_level,51.30896496171699,84.8218230982348,57.67132048600136,63.73596977834238
demo,tomicroservices,4,coupling,method_level,30.86590082910854,71.97493968949527,66.1370563888011,70.98877582267392
demo,tomicroservices,5,coupling,method_level,15.968608283786645,53.782809341758366,52.27411277760219,56.12900791803733
demo,tomicroservices,6,coupling,method_level,0.0,7.927297382488208,27.436549404573775,34.717965709976774
demo,tomicroservices,7,coupling,method_level,0.0,0.0,11.506980729002048,22.711472242046504
demo,tomicroservices,8,coupling,method_level,0.747105400326542,16.00396770441035,46.97123641955798,57.53804417873365
demo,tomicroservices,9,coupling,method_level,0.0,0.0,19.20558458320164,31.05816275330966
demo,tomicroservices,10,coupling,method_level,0.0,7.927297382488208,28.61790669163984,39.43773793679445
jpetstore,tomicroservices,3,coupling,method_level,59.737262459570715,95.0904559338328,57.67132048600136,61.189404571933494
jpetstore,tomicroservices,5,coupling,method_level,45.43405041233433,75.12840136718481,38.44754699066758,49.10151774901239
partsunlimited,tomicroservices,5,coupling,method_level,4.319437719581353,83.20831847711649,80.0,80.0
spring-petclinic,tomicroservices,3,coupling,method_level,72.98876928927778,55.458421962798354,33.333333333333336,33.333333333333336
spring-petclinic,tomicroservices,5,coupling,method_level,28.57142857142857,14.162916071680387,16.666666666666664,18.329065812191057
demo,cargo,4,default,method_level,82.69980088339605,60.09959372952869,26.137056388801096,29.862653575968924
demo,cargo,5,default,method_level,82.69980088339605,60.09959372952869,38.44754699066758,40.95207690440039
demo,cargo,n,default,method_level,38.604364615927736,32.67729560670401,72.80372305546776,76.66075224241106
jpetstore,cargo,3,default,method_level,83.40646177489384,52.00168693350975,32.67132048600136,43.994142779385925
jpetstore,cargo,5,default,method_level,48.76044701146971,23.594064530018567,26.137056388801096,35.902761286142294
jpetstore,cargo,n,default,method_level,80.58615542621035,36.4507879895303,51.62436626971585,59.435091532643
partsunlimited,cargo,5,default,method_level,58.77365452885732,26.54902262457458,5.114213657334243,6.058097195086454
partsunlimited,cargo,n,default,method_level,58.77365452885732,26.54902262457458,5.114213657334243,6.058097195086454
spring-petclinic,cargo,3,default,method_level,100.0,100.0,0.0,0.0
spring-petclinic,cargo,n,default,method_level,100.0,100.0,0.0,0.0
demo,datacentric,n,default,method_level,35.20044759411307,58.328175231420666,66.1370563888011,77.21878403090517
demo,datacentric,n,default,class_level,43.906682037456726,51.389236578592815,66.1370563888011,77.21878403090517
jpetstore,datacentric,n,default,method_level,90.46909675478125,53.83210122166402,33.333333333333336,49.80820457505749
jpetstore,datacentric,n,default,class_level,79.719744537125,30.430820761296083,33.333333333333336,49.80820457505749
