Application,Tool,Partition Count,Variant,Granularity,NED,Completeness,Actual Partition Count,Min,Max,Mean,Stdev,Median
demo,mem,4,3600_100_10_LC_final,method_level,18.39080459770115,87 (29.5%),7,1,44,12.428571428571429,15.725320800724997,5.0
demo,mem,4,3600_100_10_LC_final,class_level,44.99999999999999,20 (42.6%),7,1,6,2.857142857142857,2.0354009783964297,3.0
jpetstore,mem,4,3600_100_10_LC_final,method_level,13.541666666666663,192 (63.6%),5,5,101,38.4,41.21043557158793,14.0
jpetstore,mem,4,3600_100_10_LC_final,class_level,64.70588235294117,17 (70.8%),5,2,6,3.4,1.6733200530681511,3.0
partsunlimited,mem,4,3600_100_10_LC_final,method_level,28.07017543859649,57 (13.8%),2,16,41,28.5,17.67766952966369,28.5
partsunlimited,mem,4,3600_100_10_LC_final,class_level,100.0,4 (7.5%),2,2,2,2.0,0.0,2.0
spring-petclinic,mem,4,3600_100_10_LC_final,method_level,41.55844155844156,77 (68.8%),6,5,23,12.833333333333334,7.985403350280227,10.5
spring-petclinic,mem,4,3600_100_10_LC_final,class_level,73.33333333333334,15 (65.2%),6,2,4,2.5,0.8366600265340756,2.0
demo,mem,4,3600_100_10_TS_final,method_level,55.42168674698795,166 (56.3%),18,2,28,9.222222222222221,7.174756036480024,7.5
demo,mem,4,3600_100_10_TS_final,class_level,60.60606060606061,33 (70.2%),18,1,4,1.8333333333333333,0.9235481451827989,2.0
jpetstore,mem,4,3600_100_10_TS_final,method_level,67.3170731707317,205 (67.9%),6,9,58,34.166666666666664,16.14207752015417,36.5
jpetstore,mem,4,3600_100_10_TS_final,class_level,44.99999999999999,20 (83.3%),6,2,6,3.3333333333333335,1.7511900715418263,2.5
partsunlimited,mem,4,3600_100_10_TS_final,method_level,44.17344173441734,369 (89.6%),12,4,69,30.75,23.526097694417423,24.5
partsunlimited,mem,4,3600_100_10_TS_final,class_level,45.652173913043484,44 (83.0%),12,1,8,3.8333333333333335,2.516611478423583,3.0
spring-petclinic,mem,4,3600_100_10_TS_final,method_level,31.88405797101449,69 (61.6%),5,4,27,13.8,9.444575162494075,10.0
spring-petclinic,mem,4,3600_100_10_TS_final,class_level,61.53846153846154,13 (56.5%),5,1,5,2.6,1.51657508881031,2.0
demo,mono2micro,2,business,method_level,30.000000000000004,190 (64.4%),2,57,133,95.0,53.74011537017761,95.0
demo,mono2micro,2,business,class_level,36.66666666666667,30 (63.8%),2,11,19,15.0,5.656854249492381,15.0
demo,mono2micro,3,business,method_level,30.000000000000004,190 (64.4%),3,25,133,63.333333333333336,60.43453758682475,32.0
demo,mono2micro,3,business,class_level,36.66666666666667,30 (63.8%),3,4,19,10.0,7.937253933193772,7.0
demo,mono2micro,4,business,method_level,23.684210526315784,190 (64.4%),4,12,133,47.5,57.25090974531904,22.5
demo,mono2micro,4,business,class_level,36.66666666666667,30 (63.8%),4,3,19,7.5,7.681145747868608,4.0
demo,mono2micro,5,business,method_level,25.263157894736842,190 (64.4%),5,9,133,38.0,53.47896782848375,12.0
demo,mono2micro,5,business,class_level,36.66666666666667,30 (63.8%),5,2,19,6.0,7.314369419163897,3.0
demo,mono2micro,6,business,method_level,30.000000000000004,190 (64.4%),6,9,67,31.666666666666668,27.565679143940326,18.5
demo,mono2micro,6,business,class_level,56.666666666666664,30 (63.8%),6,2,13,5.0,4.1952353926806065,3.5
demo,mono2micro,7,business,method_level,36.31578947368421,190 (64.4%),7,9,66,27.142857142857142,23.589747571268976,12.0
demo,mono2micro,7,business,class_level,73.33333333333334,30 (63.8%),7,2,8,4.285714285714286,2.214669705568283,4.0
demo,mono2micro,8,business,method_level,45.78947368421053,190 (64.4%),8,9,66,23.75,19.462417996891194,15.0
demo,mono2micro,8,business,class_level,80.0,30 (63.8%),8,2,6,3.75,1.4880476182856899,3.5
demo,mono2micro,9,business,method_level,43.15789473684211,190 (64.4%),9,5,66,21.11111111111111,19.630616676791156,12.0
demo,mono2micro,9,business,class_level,80.0,30 (63.8%),9,2,6,3.3333333333333335,1.4142135623730951,3.0
jpetstore,mono2micro,3,business,method_level,49.45848375451264,277 (91.7%),3,55,140,92.33333333333333,43.431939092485074,82.0
jpetstore,mono2micro,3,business,class_level,52.94117647058824,17 (70.8%),3,4,8,5.666666666666667,2.0816659994661326,5.0
jpetstore,mono2micro,5,business,method_level,16.967509025270754,277 (91.7%),5,5,135,55.4,54.546310599343016,47.0
