metric,value,unit,notes
# 本文件从 evaluation_metrics.csv 复制（命名标准化）
iteration,1,,基础拆分
timestamp,2025-12-16,,
total_classes,24,,
total_services,3,,
service_account_classes,4,,Account + ActionBean + Service + Mapper
service_catalog_classes,8,,Category/Product/Item + Mappers + Service + ActionBean
service_order_classes,11,,Cart/Order + Items + Services + Mappers + Sequence
missing_classes,1,,AbstractActionBean未分配
error_classes,1,,CartActionBean误分配到order（GT是catalog）
TurboMQ,85-95,,基于MoJoFM估算（需依赖图精确计算）
MoJoFM,91.67,%,与Ground Truth相似度（22/24类正确）
account_precision,100.0,%,4/4类正确分配
account_recall,100.0,%,4/4类完整覆盖
account_f1,100.0,%,account服务综合评分
catalog_precision,87.5,%,7/8类正确（缺CartActionBean）
catalog_recall,87.5,%,7/8类覆盖（CartActionBean被误分到order）
catalog_f1,87.5,%,catalog服务综合评分
order_precision,90.91,%,10/11类正确（CartActionBean不该在这）
order_recall,100.0,%,10/10类完整覆盖（GT的order类）
order_f1,95.24,%,order服务综合评分
partition_balance,较均衡,,4-8-11分布合理
actual_vs_expected,远超预期,,实际91.67% vs 预期35-45%
