metric,value,unit,notes
# 本文件从 evaluation_metrics.csv 复制（命名标准化）
iteration,3,,专家优化拆分
timestamp,2025-12-16,,
total_classes,24,,完整覆盖
total_services,3,,与Ground Truth一致
service_account_classes,4,,完全匹配GT
service_catalog_classes,8,,完全匹配GT
service_order_classes,12,,包含AbstractActionBean
error_classes,1,,CartActionBean误分配到order（GT是catalog）
TurboMQ,85-95,,基于MoJoFM估算（需依赖图精确计算）
MoJoFM,95.83,%,与Ground Truth相似度（23/24类正确）
account_precision,100.0,%,4/4类正确分配
account_recall,100.0,%,4/4类完整覆盖
account_f1,100.0,%,account服务综合评分
catalog_precision,88.89,%,8/9类正确（缺CartActionBean，多AbstractActionBean）
catalog_recall,87.5,%,7/8类覆盖（CartActionBean被误分到order）
catalog_f1,88.19,%,catalog服务综合评分
order_precision,91.67,%,11/12类正确（CartActionBean不该在这）
order_recall,100.0,%,10/10类完整覆盖（GT的order类）
order_f1,95.65,%,order服务综合评分
alignment_with_gt,高度一致,,23/24类正确（仅CartActionBean误判）
paper_comparison,独立第二,,Log2MS(100%) > Copilot(95.83%) > MOSAIC(89.47%)
improvement_from_round2,0pp,,维持95.83%（CartActionBean问题持续）
naming_standard,完全一致,,account/catalog/order
actual_vs_expected,略低于预期,,实际95.83% vs 预期75-90%（接近上限）
